costo,nombre,precio_venta,referencia_interna,unidad_medida,categoria_producto,archivo_imagen,imagen_url
0.0,1KW INVERSOR RED GROWATT,1050.0,,Unidades,INVERSORES DE RED,1KW_INVERSOR_RED_GROWATT.jpg,http://localhost:3000/uploads/1KW_INVERSOR_RED_GROWATT.jpg
432.01,2 BTNS IP VIDO PRTR,510.0,HK-DS-KV8213-WME1,Unidades,VIDEO PORTERO,HK-DS-KV8213-WME1.jpg,http://localhost:3000/uploads/HK-DS-KV8213-WME1.jpg
615.0,2 X 16 GENESIS CABLE INCENDIO  FPLR  300M  CERTIFICACION UL,780.0,GENFPLR2X16,Unidades,INCENDIO,GENFPLR2X16.jpg,http://localhost:3000/uploads/GENFPLR2X16.jpg
620.0,2 X 18 GENESIS CABLE INCENDIO FPLR 300M CERTIFICACION UL,720.0,GENFPLR2X18,Unidades,INCENDIO,GENFPLR2X18.jpg,http://localhost:3000/uploads/GENFPLR2X18.jpg
0.0,200W PANEL NVS  MONOCRISTALINO PLEGABLE,580.0,,Unidades,PANELES,200W_PANEL_NVS_MONOCRISTALINO_PLEGABLE.jpg,http://localhost:3000/uploads/200W_PANEL_NVS_MONOCRISTALINO_PLEGABLE.jpg
1353.0,24/1200 INVERSOR,1700.0,24 / 1200 230V,Unidades,INVERSORES,24_1200_230V.jpg,http://localhost:3000/uploads/24_1200_230V.jpg
2893.0,24/1200 MULTIPLUS,3327.0,24 / 1200 230V,Unidades,INVERSORES,24_1200_230V_2.jpg,http://localhost:3000/uploads/24_1200_230V_2.jpg
4214.0,24/1600VA INVERSOR DE RED,4846.0,24 / 1600,Unidades,INVERSORES DE RED,24_1600.jpg,http://localhost:3000/uploads/24_1600.jpg
4044.0,24/3000 II .MULTIPLUSS -II 24/3000/70-32 230V VCITRON ENERGY,4800.0,,Unidades,INVERSORES DE RED,24_3000_II_.MULTIPLUSS_-II_24_3000_70-32_230V_VCITRON_ENERGY.jpg,http://localhost:3000/uploads/24_3000_II_.MULTIPLUSS_-II_24_3000_70-32_230V_VCITRON_ENERGY.jpg
5047.0,24/3000 MULTIPLUS,5804.0,24 / 3000 230V,Unidades,INVERSORES HIBRIDOS,24_3000_230V.jpg,http://localhost:3000/uploads/24_3000_230V.jpg
12476.0,24/5000VA MULTIPLUS,14347.0,24 / 5000,Unidades,INVERSORES HIBRIDOS,24_5000.jpg,http://localhost:3000/uploads/24_5000.jpg
0.0,24/800 INVERSOR PHOENIX ONDS SENOIDAL,1350.0,,Unidades,INVERSORES,24_800_INVERSOR_PHOENIX_ONDS_SENOIDAL.jpg,http://localhost:3000/uploads/24_800_INVERSOR_PHOENIX_ONDS_SENOIDAL.jpg
0.0,24/800 MULTIPLUS,2500.0,,Unidades,INVERSORES,24_800_MULTIPLUS.jpg,http://localhost:3000/uploads/24_800_MULTIPLUS.jpg
2187.0,24/800 MULTIPLUS,2515.0,24 / 800,Unidades,INVERSORES,24_800.jpg,http://localhost:3000/uploads/24_800.jpg
1752.0,24V 100AH BATERIA LITTIO RITAR,2885.0,,Unidades,BATERIAS,24V_100AH_BATERIA_LITTIO_RITAR.jpg,http://localhost:3000/uploads/24V_100AH_BATERIA_LITTIO_RITAR.jpg
2882.27,24V 200AH 5.12KWH BATERIA DE LITIO LiFePO4 CLASE A GOSPOWER,4000.0,GPLB-24200M,Unidades,BATERIAS,GPLB-24200M.jpg,http://localhost:3000/uploads/GPLB-24200M.jpg
